"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"70","French Polynesia","Oceania","Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10000002384186,NA,NA
"71","Gabon","Africa","Middle Africa",10291.900390625,0.674000024795532,59,24,36,38,31,24,3,"Non-Democratic",3.75999999046326,NA,2.40000009536743,9,4
"72","Gambia","Africa","Western Africa",481.899993896484,0.441000014543533,45,26,27,35,38,14,-5,"Non-Democratic",3.30999994277954,NA,3.20000004768372,10,0
"73","Georgia","Asia","Western Asia",3596.89990234375,0.744000017642975,31,69,67,54,74,55,6,"Non-Democratic",5.94999980926514,1.89999997615814,-0.100000001490116,NA,8
"74","Germany","Europe","Western Europe",46255,0.91100001335144,77,91,94,92,93,94,10,"Democratic",8.3100004196167,NA,0.300000011920929,NA,10
"75","Ghana","Africa","Western Africa",1875.5,0.573000013828278,47,51,56,57,56,61,8,"Democratic",6.32999992370605,NA,2.09999990463257,6,8
"76","Greece","Europe","Southern Europe",21966,0.852999985218048,39,67,56,64,73,67,10,"Democratic",7.65000009536743,NA,-0.600000023841858,NA,10
"77","Greenland","Americas","Northern America",NA,NA,100,78,84,94,90,91,NA,NA,NA,NA,-0.600000023841858,NA,NA
"78","Grenada","Americas","Caribbean",7890.2998046875,0.744000017642975,61,62,69,59,62,72,NA,NA,NA,NA,0.400000005960464,13,NA
"79","Guam","Oceania","Micronesia",NA,NA,72,54,78,86,71,73,NA,NA,NA,NA,1.39999997615814,NA,NA
"80","Guatemala","Americas","Central America",3481.39990234375,0.628000020980835,24,27,34,13,45,36,8,"Democratic",5.80999994277954,NA,2.5,40,8
"81","Guinea","Africa","Western Africa",530.599975585938,0.391999989748001,11,9,13,5,16,17,5,"Non-Democratic",2.83999991416931,3.09999990463257,2.5,9,4
"82","Guinea-Bissau","Africa","Western Africa",555.5,0.395999997854233,18,6,5,2,9,9,6,"Non-Democratic",1.25999999046326,NA,2.40000009536743,8,2
"83","Guyana","Americas","South America",3739.30004882812,0.638000011444092,32,48,30,38,29,48,6,"Non-Democratic",6.05000019073486,NA,0.5,17,6
"84","Haiti","Americas","Caribbean",819.299987792969,0.470999985933304,25,4,11,8,19,26,-77,NA,3.94000005722046,NA,1.39999997615814,10,NA
"85","Honduras","Americas","Central America",2284.19995117188,0.616999983787537,30,25,17,10,46,32,7,"Non-Democratic",5.84000015258789,NA,2,90,7
"86","Hong Kong","Asia","Eastern Asia",38364.19921875,0.890999972820282,74,96,92,91,100,69,NA,NA,6.42000007629395,NA,0.5,0,NA
"87","Hungary","Europe","Eastern Europe",13486.599609375,0.818000018596649,70,70,65,67,78,70,10,"Democratic",6.96000003814697,NA,-0.300000011920929,1,10
"88","Iceland","Europe","Northern Europe",47548.69921875,0.894999980926514,92,90,96,92,82,95,NA,NA,9.64999961853027,NA,0.899999976158142,0,NA
"89","India","Asia","Southern Asia",1486.90002441406,0.586000025272369,12,47,36,53,34,61,9,"Democratic",7.69000005722046,NA,1.20000004768372,4,9
"90","Indonesia","Asia","South-Eastern Asia",3643.89990234375,0.684000015258789,29,45,32,36,46,49,8,"Democratic",6.82000017166138,NA,1.20000004768372,1,8
"91","Iran","Asia","Southern Asia",6375.89990234375,0.749000012874603,10,28,28,17,6,4,-7,"Non-Democratic",1.98000001907349,NA,1.29999995231628,4,0
